MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2023-2024_Burnley_Newcastle,2023-2024,36,2024-05-04,15:00,Burnley,Newcastle,1,4,A,0,3,A,A Taylor,17,23,5,11,4,11,8,8,2,2,0,0,3.4,4,1.95,1.5,2.63,3.5,4.16,2.07,3.38,3.98,2.02,1.51,2.75,1.48,2.64,0,3
2023-2024_Sheffield United_Nott'm Forest,2023-2024,36,2024-05-04,15:00,Sheffield United,Nott'm Forest,1,3,A,1,1,D,C Kavanagh,17,15,5,4,5,3,9,7,0,1,1,0,4.75,4.2,1.65,1.57,2.38,5.1,4.4,1.74,4.68,4.25,1.69,1.63,2.5,1.57,2.43,0,3
2023-2024_Man City_Wolves,2023-2024,36,2024-05-04,17:30,Man City,Wolves,5,1,H,3,0,H,C Pawson,20,2,12,1,6,0,4,17,0,4,0,0,1.08,12,21,1.3,3.5,1.12,14,32,1.09,11.51,25.33,1.32,3.73,1.3,3.52,3,0
2023-2024_Brighton_Aston Villa,2023-2024,36,2024-05-05,14:00,Brighton,Aston Villa,1,0,H,0,0,D,R Jones,15,2,8,1,7,3,13,10,2,1,0,0,2.75,3.75,2.45,1.5,2.63,2.78,4.03,2.51,2.72,3.77,2.43,1.52,2.72,1.48,2.63,3,0
2023-2024_Chelsea_West Ham,2023-2024,36,2024-05-05,14:00,Chelsea,West Ham,5,0,H,3,0,H,A Madley,25,13,14,2,8,6,12,10,1,3,0,0,1.65,4.5,4.5,1.4,3,1.7,4.75,5,1.65,4.55,4.58,1.43,3.07,1.4,2.93,3,0
2023-2024_Liverpool_Tottenham,2023-2024,36,2024-05-05,16:30,Liverpool,Tottenham,4,2,H,2,0,H,P Tierney,25,11,13,6,8,3,14,12,1,4,0,0,1.5,5.75,5,1.25,4,1.54,5.75,6,1.48,5.26,5.61,1.29,4,1.26,3.82,3,0
2023-2024_Crystal Palace_Man United,2023-2024,36,2024-05-06,20:00,Crystal Palace,Man United,4,0,H,2,0,H,J Gillett ,18,7,10,2,6,3,12,8,1,1,0,0,2.38,3.75,2.8,1.53,2.5,2.42,3.99,2.89,2.38,3.76,2.79,1.57,2.57,1.53,2.48,3,0
2023-2024_Fulham_Man City,2023-2024,37,2024-05-11,12:30,Fulham,Man City,0,4,A,0,1,A,A Taylor,1,16,1,9,1,7,9,6,1,0,1,0,13,7,1.2,1.36,3.2,14,7.5,1.26,12.3,7.05,1.22,1.38,3.3,1.34,3.18,0,3
2023-2024_Bournemouth_Brentford,2023-2024,37,2024-05-11,15:00,Bournemouth,Brentford,1,2,A,0,0,D,M Donohue,13,11,4,5,3,8,16,12,2,2,0,0,1.95,4,3.5,1.44,2.75,2.02,4.21,3.7,1.98,3.99,3.5,1.49,2.82,1.46,2.71,0,3
2023-2024_Everton_Sheffield United,2023-2024,37,2024-05-11,15:00,Everton,Sheffield United,1,0,H,1,0,H,S Attwell,15,13,6,1,3,6,6,11,1,2,0,0,1.4,4.8,7.5,1.53,2.5,1.44,5.5,8,1.4,5.13,7.46,1.57,2.57,1.54,2.48,3,0
2023-2024_Newcastle_Brighton,2023-2024,37,2024-05-11,15:00,Newcastle,Brighton,1,1,D,1,1,D,D England,18,15,7,4,8,4,9,16,3,4,0,0,1.57,4.75,4.75,1.33,3.4,1.63,5,5,1.59,4.81,4.84,1.35,3.52,1.33,3.32,1,1
2023-2024_Tottenham_Burnley,2023-2024,37,2024-05-11,15:00,Tottenham,Burnley,2,1,H,1,1,D,J Gillett,21,7,9,3,9,3,10,14,3,5,0,0,1.36,5.75,7,1.25,4,1.39,6.3,7.9,1.35,6.01,7.33,1.26,4.3,1.24,4.05,3,0
2023-2024_West Ham_Luton,2023-2024,37,2024-05-11,15:00,West Ham,Luton,3,1,H,0,1,A,M Oliver,24,4,8,1,7,6,9,15,1,3,0,0,1.8,4.2,3.8,1.44,2.75,1.86,4.6,4.04,1.82,4.33,3.83,1.45,2.98,1.42,2.84,3,0
2023-2024_Wolves_Crystal Palace,2023-2024,37,2024-05-11,15:00,Wolves,Crystal Palace,1,3,A,0,2,A,T Bramall,13,13,7,3,8,3,13,12,3,2,0,1,2.88,3.5,2.38,1.8,2,3,3.6,2.54,2.86,3.51,2.47,1.86,2.1,1.79,2.04,0,3
2023-2024_Nott'm Forest_Chelsea,2023-2024,37,2024-05-11,17:30,Nott'm Forest,Chelsea,2,3,A,1,1,D,T Harrington,20,12,4,5,5,6,14,8,2,3,0,0,3.4,3.8,2,1.5,2.63,3.6,4.21,2.08,3.39,3.94,2.03,1.51,2.75,1.48,2.64,0,3
2023-2024_Man United_Arsenal,2023-2024,37,2024-05-12,16:30,Man United,Arsenal,0,1,A,0,1,A,P Tierney,14,11,2,5,4,7,5,6,0,2,0,0,7,5.5,1.36,1.36,3.2,7.5,5.8,1.43,7.08,5.5,1.39,1.4,3.22,1.37,3.09,0,3
2023-2024_Aston Villa_Liverpool,2023-2024,37,2024-05-13,20:00,Aston Villa,Liverpool,3,3,D,1,2,A,S Hooper,19,14,5,7,5,4,11,15,1,1,0,0,4.2,4.33,1.7,1.33,3.4,4.4,4.75,1.77,4.15,4.55,1.71,1.37,3.4,1.33,3.28,1,1
2023-2024_Tottenham_Man City,2023-2024,37,2024-05-14,20:00,Tottenham,Man City,0,2,A,0,0,D,C Kavanagh,10,8,5,5,7,4,14,11,3,3,0,0,6.5,6,1.36,1.25,4,7.5,6.5,1.41,6.94,5.91,1.38,1.3,4,1.27,3.79,0,3
2023-2024_Brighton_Chelsea,2023-2024,37,2024-05-15,19:45,Brighton,Chelsea,1,2,A,0,1,A,M Salisbury,12,13,2,6,4,6,13,14,2,2,0,1,3.3,4,1.95,1.4,3,3.52,4.21,2.05,3.37,3.99,2.02,1.42,3.12,1.4,2.98,0,3
2023-2024_Man United_Newcastle,2023-2024,37,2024-05-15,20:00,Man United,Newcastle,3,2,H,1,0,H,R Jones,17,21,8,8,9,9,16,7,3,3,0,0,2.75,4,2.3,1.33,3.4,2.85,4.26,2.4,2.73,4.04,2.34,1.36,3.52,1.33,3.33,3,0
2023-2024_Arsenal_Everton,2023-2024,38,2024-05-19,16:00,Arsenal,Everton,2,1,H,1,1,D,M Oliver,26,5,5,2,8,1,8,11,4,3,0,0,1.18,8,12,1.36,3.2,1.19,8.9,17,1.17,8.04,15.37,1.41,3.2,1.38,3.04,3,0
2023-2024_Brentford_Newcastle,2023-2024,38,2024-05-19,16:00,Brentford,Newcastle,2,4,A,0,3,A,S Hooper,10,12,5,7,3,0,15,11,4,4,0,0,2.9,3.9,2.2,1.36,3.2,3.04,4.2,2.28,2.94,3.96,2.22,1.41,3.22,1.38,3.04,0,3
2023-2024_Brighton_Man United,2023-2024,38,2024-05-19,16:00,Brighton,Man United,0,2,A,0,0,D,C Pawson,17,11,3,4,7,5,10,9,1,3,0,0,2.15,4,2.9,1.33,3.4,2.24,4.37,3,2.17,4.11,2.95,1.35,3.52,1.32,3.38,0,3
2023-2024_Burnley_Nott'm Forest,2023-2024,38,2024-05-19,16:00,Burnley,Nott'm Forest,1,2,A,0,2,A,G Scott,20,12,3,6,4,3,11,5,1,0,0,0,3,3.5,2.3,1.53,2.5,3,3.9,2.37,2.9,3.74,2.32,1.54,2.66,1.51,2.55,0,3
